powiat,samochodyZielone,gęstość,ludnosc,przystanki,odsetek65,cenyMieszkan,parki,ogółem,rodzaj powiat
Powiat m. st. Warszawa,127818,3600.1,1861975,4275,19.7,705792,422,"8,540.11",grodzki
Powiat m. Wrocław,70523,2302.1,674079,1661,20.1,496788,648,"7,391.95",grodzki
Powiat m. Gdynia,37405,1796.4,242874,639,23,579264,94,"6,985.73",grodzki
Powiat m. Kraków,37067,2457.6,803282,1886,19.5,540942,773,"8,157.43",grodzki
Powiat m. Poznań,21109,2066.8,541316,1407,21,456802,171,"7,362.74",grodzki
Powiat jasielski,20454,131.9,109582,803,18.8,221363,24,"5,453.40",ziemski
Powiat m. Gdańsk,19224,1829.3,486345,1243,20.4,521749,220,"7,876.68",grodzki
Powiat tarnowski,17316,140,197717,1099,16.3,269387,25,"5,010.43",ziemski
Powiat m. Łódź,15904,2245.3,658444,2092,24.9,328536,125,"6,629.23",grodzki
Powiat m. Katowice,15753,1700.9,280190,725,22.9,328992,100,"8,017.49",grodzki
Powiat nowotarski,13615,128.9,190143,695,16.1,380199,26,"5,168.93",ziemski
Powiat dębicki,11842,171,132873,676,17.2,238276,21,"5,507.67",ziemski
Powiat sandomierski,11358,107.4,72616,816,22.2,270126,17,"5,954.75",ziemski
Powiat warszawski zachodni,9915,249.6,133217,517,16.9,525265,60,"7,077.31",ziemski
Powiat m. Szczecin,9847,1302.5,391566,1251,22.3,523240,180,"6,943.84",grodzki
Powiat tczewski,9747,160.3,111755,516,17.6,278821,162,"6,105.39",ziemski
Powiat nowosądecki,9561,138.7,214933,1163,14.1,340762,76,"5,134.07",ziemski
Powiat m. Bydgoszcz,9185,1875.6,330038,998,23.4,323203,158,"6,435.59",grodzki
Powiat gdański,9015,163.7,129983,537,13.5,404495,129,"6,466.20",ziemski
Powiat m. Lublin,8810,2246.5,331243,772,21.4,404218,83,"6,402.56",grodzki
Powiat poznański,8604,233,442680,2000,14,391858,367,"5,737.99",ziemski
Powiat brzeski,8520,155.5,91823,721,16.8,263072,9,"5,127.71",ziemski
Powiat krośnieński,8417,110,109122,699,18.2,154009,63,"4,841.46",ziemski
Powiat sanocki,8155,78.1,90294,539,19.8,272530,57,"5,266.08",ziemski
Powiat bocheński,8061,164.7,106878,821,16.7,271989,44,"5,642.88",ziemski
Powiat m. Tarnów,7969,1436.5,103960,372,23.3,284042,71,"6,721.47",grodzki
Powiat kartuski,7457,135.6,151934,748,12.4,392693,30,"5,651.36",ziemski
Powiat m. Białystok,7451,2865,292600,694,19.3,337687,36,"6,183.98",grodzki
Powiat m. Sopot,7325,1859.2,32276,101,28.9,976572,37,"7,701.83",grodzki
Powiat wejherowski,7161,176.6,227406,941,14.7,345503,67,"5,557.82",ziemski
Powiat wołomiński,7064,286.7,273411,775,14.3,474156,56,"6,065.79",ziemski
Powiat dąbrowski,6725,109,57809,227,17.2,196873,13,"5,271.12",ziemski
Powiat m. Kielce,6276,1677,183885,599,23.9,356918,16,"6,185.40",grodzki
Powiat m. Elbląg,6114,1422.8,113567,368,22,291850,28,"5,900.22",grodzki
Powiat piaseczyński,5905,341.6,212129,830,15.6,526069,61,"6,499.96",ziemski
Powiat pruszkowski,5563,722.6,178037,591,18.4,479699,106,"7,516.43",ziemski
Powiat m. Toruń,5498,1691.1,195690,719,21.7,371110,38,"6,450.47",grodzki
Powiat m. Opole,5225,848.5,126458,477,22.1,367803,19,"6,560.39",grodzki
Powiat krakowski,5182,244,300289,1691,16.5,461690,127,"6,385.62",ziemski
Powiat leski,5141,30.6,25565,172,19.8,185239,9,"5,831.15",ziemski
Powiat m. Rzeszów,4992,1528.4,197181,644,18.4,354933,780,"6,508.96",grodzki
Powiat m. Bielsko-Biała,4954,1340,166765,460,23,357152,147,"6,434.35",grodzki
Powiat sztumski,4924,52.9,38678,284,17.7,160885,27,"5,597.89",ziemski
Powiat legionowski,4722,333.4,130278,517,17.2,463340,66,"6,034.24",ziemski
Powiat pucki,4517,156.5,90942,492,15.1,459292,141,"5,893.38",ziemski
Powiat brzozowski,4463,117.9,63591,329,17.8,231304,6,"5,049.05",ziemski
Powiat m. Zielona Góra,4449,500.5,139278,387,21.1,321137,27,"6,462.80",grodzki
Powiat wrocławski,4405,163.5,182778,1028,12.7,423052,88,"7,161.33",ziemski
Powiat bieszczadzki,4395,18.2,20777,168,18.7,208693,8,"5,747.22",ziemski
Powiat ząbkowicki,4388,76.2,61087,364,21.9,177968,98,"5,615.48",ziemski
Powiat m. Radom,4322,1769.7,197848,582,22.2,296984,123,"6,182.33",grodzki
Powiat kielecki,3966,94.3,211774,2672,16.4,269277,60,"5,289.72",ziemski
Powiat nakielski,3726,74.2,83148,496,17.6,206171,33,"5,907.85",ziemski
Powiat m. Częstochowa,3618,1304,208282,793,24.6,302137,124,"6,018.76",grodzki
Powiat m. Tychy,3556,1504.8,123105,413,22,322856,39,"6,236.50",grodzki
Powiat m. Olsztyn,3554,1904.6,168212,439,21,367584,82,"6,506.02",grodzki
Powiat m. Kalisz,3532,1354.5,93973,372,24,266913,193,"5,781.36",grodzki
Powiat elbląski,3509,38.7,54615,523,17.5,181918,25,"5,206.08",ziemski
Powiat malborski,3355,123.4,61012,288,19.3,232957,40,"5,340.19",ziemski
Powiat lubelski,3323,97.2,163209,1573,16.6,381446,61,"5,115.88",ziemski
Powiat kutnowski,3266,103.2,91563,750,22.6,248255,40,"5,800.64",ziemski
Powiat płocki,3184,61.1,109735,854,17.1,235244,30,"5,772.84",ziemski
Powiat nowodworski,3168,114.7,79719,398,18.8,298228,16,"7,534.84",ziemski
Powiat starogardzki,3058,93.2,125437,524,16.4,269175,54,"6,430.22",ziemski
Powiat grodziski,2873,284.6,104434,630,17.2,482012,41,"7,139.72",ziemski
Powiat m. Gorzów Wielkopolski,2830,1358.2,116436,387,22.5,269617,151,"5,890.85",grodzki
Powiat m. Płock,2769,1277.6,112483,385,22.7,262342,75,"7,898.47",grodzki
Powiat otwocki,2762,205.6,126649,446,19.5,466830,18,"6,468.80",ziemski
Powiat opolski,2679,78.7,120762,526,18.1,258594,32,"5,740.58",ziemski
Powiat inowrocławski,2678,124,151925,1144,20.1,215821,106,"5,655.28",ziemski
Powiat świdnicki,2587,204,151248,632,21.6,253368,170,"6,059.31",ziemski
Powiat m. Koszalin,2553,1060,104239,329,23.9,400788,121,"6,054.77",grodzki
Powiat ostrowski,2487,137,158914,867,18.7,234299,91,"5,499.39",ziemski
Powiat białostocki,2485,52.5,156370,1483,17.3,268686,41,"5,597.60",ziemski
Powiat lubiński,2439,145.3,103426,359,21.8,276118,86,"11,361.51",ziemski
Powiat miński,2428,136.7,159034,1036,17.1,360159,53,"5,785.24",ziemski
