"powiat","samochodyZielone","gęstość","ludnosc","przystanki","odsetek65","cenyMieszkan","parki","ogółem","rodzaj_powiat"
"Powiat m. st. Warszawa",686.464641039756,3600.1,1861975,22.9594919373246,19.7,705792,2.2664106660938,8540.11,"grodzki"
"Powiat m. Wrocław",1046.21268426994,2302.1,674079,24.6410287221527,20.1,496788,9.61311656348885,7391.95,"grodzki"
"Powiat m. Gdynia",1540.09898136482,1796.4,242874,26.3099384866227,23,579264,3.87031958958143,6985.73,"grodzki"
"Powiat m. Kraków",461.444424249516,2457.6,803282,23.4786787205489,19.5,540942,9.62302155407441,8157.43,"grodzki"
"Powiat m. Poznań",389.957067590834,2066.8,541316,25.992211573277,21,456802,3.15896814430019,7362.74,"grodzki"
"Powiat jasielski",1866.5474256721,131.9,109582,73.2784581409356,18.8,221363,2.19014071654104,5453.4,"ziemski"
"Powiat m. Gdańsk",395.274959133948,1829.3,486345,25.5579886705939,20.4,521749,4.52353781780423,7876.68,"grodzki"
"Powiat tarnowski",875.797225327109,140,197717,55.584497033639,16.3,269387,1.26443350849952,5010.43,"ziemski"
"Powiat m. Łódź",241.539143799625,2245.3,658444,31.7718742975864,24.9,328536,1.89841505124202,6629.23,"grodzki"
"Powiat m. Katowice",562.225632606446,1700.9,280190,25.8752989043149,22.9,328992,3.56900674542275,8017.49,"grodzki"
"Powiat nowotarski",716.040033027774,128.9,190143,36.5514376022257,16.1,380199,1.36739191029909,5168.93,"ziemski"
"Powiat dębicki",891.226961083139,171,132873,50.8756481753253,17.2,238276,1.58045652615656,5507.67,"ziemski"
"Powiat sandomierski",1564.11810069406,107.4,72616,112.371929051449,22.2,270126,2.34108185523852,5954.75,"ziemski"
"Powiat warszawski zachodni",744.274379396023,249.6,133217,38.8088607309878,16.9,525265,4.50392967864462,7077.31,"ziemski"
"Powiat m. Szczecin",251.477401000087,1302.5,391566,31.9486370113851,22.3,523240,4.5969261886885,6943.84,"grodzki"
"Powiat tczewski",872.175741577558,160.3,111755,46.1724307637242,17.6,278821,14.4959957048902,6105.39,"ziemski"
"Powiat nowosądecki",444.836297823043,138.7,214933,54.1098854061498,14.1,340762,3.53598563273206,5134.07,"ziemski"
"Powiat m. Bydgoszcz",278.301286518522,1875.6,330038,30.2389421824154,23.4,323203,4.78732751986135,6435.59,"grodzki"
"Powiat gdański",693.552233753645,163.7,129983,41.3130947893186,13.5,404495,9.9243747259257,6466.2,"ziemski"
"Powiat m. Lublin",265.967884604354,2246.5,331243,23.3061528847402,21.4,404218,2.50571332828165,6402.56,"grodzki"
"Powiat poznański",194.361615613988,233,442680,45.1793620674076,14,391858,8.2904129393693,5737.99,"ziemski"
"Powiat brzeski",927.872101760997,155.5,91823,78.520632085643,16.8,263072,0.98014658636725,5127.71,"ziemski"
"Powiat krośnieński",771.338501860303,110,109122,64.056743828009,18.2,154009,5.77335459394073,4841.46,"ziemski"
"Powiat sanocki",903.160785877245,78.1,90294,59.6938888519724,19.8,272530,6.31271180809356,5266.08,"ziemski"
"Powiat bocheński",754.224442822658,164.7,106878,76.8165571960553,16.7,271989,4.11684350380808,5642.88,"ziemski"
"Powiat m. Tarnów",766.544824932666,1436.5,103960,35.7829934590227,23.3,284042,6.82954982685648,6721.47,"grodzki"
"Powiat kartuski",490.805218055208,135.6,151934,49.2319033264444,12.4,392693,1.97454157726381,5651.36,"ziemski"
"Powiat m. Białystok",254.647983595352,2865,292600,23.7183868762816,19.3,337687,1.23034859876965,6183.98,"grodzki"
"Powiat m. Sopot",2269.48816458049,1859.2,32276,31.2926013136696,28.9,976572,11.4636262238196,7701.83,"grodzki"
"Powiat wejherowski",314.89934302525,176.6,227406,41.3797349234409,14.7,345503,2.94627230591981,5557.82,"ziemski"
"Powiat wołomiński",258.36561074719,286.7,273411,28.3456042368449,14.3,474156,2.0481984996946,6065.79,"ziemski"
"Powiat dąbrowski",1163.3136708817,109,57809,39.2672421249286,17.2,196873,2.24878479129547,5271.12,"ziemski"
"Powiat m. Kielce",341.300269189983,1677,183885,32.5747070179732,23.9,356918,0.870109035538516,6185.4,"grodzki"
"Powiat m. Elbląg",538.360615319591,1422.8,113567,32.4037792668645,22,291850,2.46550494421795,5900.22,"grodzki"
"Powiat piaseczyński",278.368351333387,341.6,212129,39.1271349037614,15.6,526069,2.87560870979451,6499.96,"ziemski"
"Powiat pruszkowski",312.463139684448,722.6,178037,33.1953470346052,18.4,479699,5.95381858827098,7516.43,"ziemski"
"Powiat m. Toruń",280.954571005161,1691.1,195690,36.74178547703,21.7,371110,1.94184679850784,6450.47,"grodzki"
"Powiat m. Opole",413.180660772747,848.5,126458,37.7200335289187,22.1,367803,1.50247513008272,6560.39,"grodzki"
"Powiat krakowski",172.567093699736,244,300289,56.3124190363283,16.5,461690,4.2292591470217,6385.62,"ziemski"
"Powiat leski",2010.95247408566,30.6,25565,67.2794836690788,19.8,185239,3.52043809896343,5831.15,"ziemski"
"Powiat m. Rzeszów",253.168408720921,1528.4,197181,32.6603475994137,18.4,354933,39.557563862644,6508.96,"grodzki"
"Powiat m. Bielsko-Biała",297.064731808233,1340,166765,27.5837256018949,23,357152,8.81479926843163,6434.35,"grodzki"
"Powiat sztumski",1273.07513315063,52.9,38678,73.4267542272093,17.7,160885,6.98071254976989,5597.89,"ziemski"
"Powiat legionowski",362.455671717404,333.4,130278,39.6843672761326,17.2,463340,5.06608943950629,6034.24,"ziemski"
"Powiat pucki",496.69019814827,156.5,90942,54.1004156495349,15.1,459292,15.5043874117569,5893.38,"ziemski"
"Powiat brzozowski",701.828875155289,117.9,63591,51.7368810051737,17.8,231304,0.943529744775204,5049.05,"ziemski"
"Powiat m. Zielona Góra",319.433076293456,500.5,139278,27.7861543100849,21.1,321137,1.93856890535476,6462.8,"grodzki"
"Powiat wrocławski",241.00274650122,163.5,182778,56.2430927135651,12.7,423052,4.81458381205616,7161.33,"ziemski"
"Powiat bieszczadzki",2115.31982480628,18.2,20777,80.8586417673389,18.7,208693,3.85041151273042,5747.22,"ziemski"
"Powiat ząbkowicki",718.319773437884,76.2,61087,59.5871462013194,21.9,177968,16.0426932080475,5615.48,"ziemski"
"Powiat m. Radom",218.450527677813,1769.7,197848,29.4165217742914,22.2,296984,6.21689377704096,6182.33,"grodzki"
"Powiat kielecki",187.275114036662,94.3,211774,126.172240218346,16.4,269277,2.83320898693891,5289.72,"ziemski"
"Powiat nakielski",448.116611343628,74.2,83148,59.6526675325925,17.6,206171,3.96882667051523,5907.85,"ziemski"
"Powiat m. Częstochowa",173.706801355854,1304,208282,38.0733812811477,24.6,302137,5.9534669342526,6018.76,"grodzki"
"Powiat m. Tychy",288.859104016896,1504.8,123105,33.5485967263718,22,322856,3.16802729377361,6236.5,"grodzki"
"Powiat m. Olsztyn",211.281002544408,1904.6,168212,26.0980191662902,21,367584,4.87480084655078,6506.02,"grodzki"
"Powiat m. Kalisz",375.852638523831,1354.5,93973,39.5858384855224,24,266913,20.5378140529727,5781.36,"grodzki"
"Powiat elbląski",642.497482376636,38.7,54615,95.7612377551955,17.5,181918,4.57749702462693,5206.08,"ziemski"
"Powiat malborski",549.891824559103,123.4,61012,47.203828754999,19.3,232957,6.5560873270832,5340.19,"ziemski"
"Powiat lubelski",203.603967918436,97.2,163209,96.3794888762262,16.6,381446,3.73753898375702,5115.88,"ziemski"
"Powiat kutnowski",356.694297915097,103.2,91563,81.9108155040792,22.6,248255,4.36857682688422,5800.64,"ziemski"
"Powiat płocki",290.153551738279,61.1,109735,77.8238483619629,17.1,235244,2.73385884175514,5772.84,"ziemski"
"Powiat nowodworski",397.395852933429,114.7,79719,49.9253628369648,18.8,298228,2.00704976229004,7534.84,"ziemski"
"Powiat starogardzki",243.787718137392,93.2,125437,41.773958241986,16.4,269175,4.3049498951665,6430.22,"ziemski"
"Powiat grodziski",275.101978282935,284.6,104434,60.3251814543156,17.2,482012,3.92592450734435,7139.72,"ziemski"
"Powiat m. Gorzów Wielkopolski",243.051977051771,1358.2,116436,33.2371431516026,22.5,269617,12.9684977154832,5890.85,"grodzki"
"Powiat m. Płock",246.170532436013,1277.6,112483,34.2273943618147,22.7,262342,6.66767422632753,7898.47,"grodzki"
"Powiat otwocki",218.083048425175,205.6,126649,35.2154379426604,19.5,466830,1.42125085867239,6468.8,"ziemski"
